"tradingdate","close","open","high","low","volumn","pctchange"
2012-11-23 00:00:00.000,381.71,383.22,384.25,381.14,21.45,-0.39
2012-11-22 00:00:00.000,383.22,383.44,384.1,382.57,18.23,-0.17
2012-11-21 00:00:00.000,383.87,385.18,385.8,382.72,21.61,-0.32
2012-11-20 00:00:00.000,385.1,383.23,385.37,381.84,24.47,0.46
2012-11-19 00:00:00.000,383.32,384.83,386.22,382.42,22.55,-0.62
2012-11-16 00:00:00.000,385.71,385.83,386.25,383.16,22.58,-0.31
2012-11-15 00:00:00.000,386.91,389.84,390.65,386.6,28.76,-0.21
2012-11-14 00:00:00.000,387.71,384.74,389.4,384.61,23.96,0.65
2012-11-13 00:00:00.000,385.22,387.52,388.43,385.15,28.5,-0.87
2012-11-12 00:00:00.000,388.62,386.71,388.94,385.66,41.91,0.49
2012-11-09 00:00:00.000,386.71,385.61,386.79,383.72,24.76,0.29
2012-11-08 00:00:00.000,385.6,380.32,385.6,380.13,23.29,1.23
2012-11-07 00:00:00.000,380.9,377.83,381.22,375.75,31.15,1.05
2012-11-06 00:00:00.000,376.95,377.27,379.05,375.12,46.23,-0.08
2012-11-05 00:00:00.000,377.27,372.39,378.45,372.39,30.99,0.54
2012-11-02 00:00:00.000,375.26,378.74,380.33,374.98,59.15,-3.27
2012-11-01 00:00:00.000,387.95,388.1,389.74,387.95,46.1,-0.12
2012-10-31 00:00:00.000,388.42,388.5,390.05,387.39,57.63,-0.37
2012-10-30 00:00:00.000,389.86,391.13,392.17,389.64,23.08,-0.38
2012-10-29 00:00:00.000,391.36,390.96,392.6,390.63,29.76,-0.09
2012-10-26 00:00:00.000,391.7,390.05,393.13,389.5,22.93,0.46
2012-10-25 00:00:00.000,389.92,393.79,394.54,389.92,43.0,-1.4
2012-10-24 00:00:00.000,395.45,397.69,398.43,395.24,34.21,-0.57
2012-10-23 00:00:00.000,397.71,397.27,399.22,395.89,35.3,0.18
2012-10-22 00:00:00.000,397.0,397.77,398.34,394.69,45.95,-0.31
2012-10-19 00:00:00.000,398.23,399.52,400.46,394.98,52.6,-0.07
2012-10-18 00:00:00.000,398.51,395.94,399.55,395.94,34.99,0.38
2012-10-17 00:00:00.000,397.02,399.22,400.97,395.91,59.13,-0.55
2012-10-16 00:00:00.000,399.22,392.6,399.22,392.6,41.18,1.96
2012-10-15 00:00:00.000,391.56,392.88,394.19,390.72,36.04,-0.25
2012-10-12 00:00:00.000,392.54,394.17,395.01,392.26,55.38,-0.42
2012-10-11 00:00:00.000,394.19,395.32,397.55,393.87,45.28,-0.12
2012-10-10 00:00:00.000,394.66,392.38,394.66,391.75,37.97,0.25
2012-10-09 00:00:00.000,393.67,394.36,394.87,392.26,38.75,0.06
2012-10-08 00:00:00.000,393.45,387.83,393.45,387.83,35.59,1.36
2012-10-05 00:00:00.000,388.16,384.78,388.16,384.65,27.64,0.95
2012-10-04 00:00:00.000,384.51,385.68,386.66,383.62,25.98,-0.22
2012-10-03 00:00:00.000,385.37,385.61,387.6,383.07,36.72,0.27
2012-10-02 00:00:00.000,384.32,386.78,387.62,384.2,26.08,-0.58
2012-10-01 00:00:00.000,386.55,391.74,391.86,386.42,29.92,-1.53
2012-09-28 00:00:00.000,392.57,392.11,393.91,390.99,37.1,-0.2
2012-09-27 00:00:00.000,393.34,395.66,396.67,391.34,28.63,-0.45
2012-09-26 00:00:00.000,395.12,392.51,397.86,392.51,23.83,0.86
2012-09-25 00:00:00.000,391.77,391.17,394.06,390.14,23.94,0.36
2012-09-24 00:00:00.000,390.37,392.16,394.54,390.08,27.74,-1.29
2012-09-21 00:00:00.000,395.48,391.0,395.55,391.0,101.29,1.59
2012-09-20 00:00:00.000,389.28,393.05,393.42,385.9,58.64,-1.34
2012-09-19 00:00:00.000,394.55,391.05,396.17,390.89,44.84,0.01
2012-09-18 00:00:00.000,394.51,403.48,405.05,392.98,41.84,-1.8
2012-09-17 00:00:00.000,401.75,400.55,405.27,400.07,38.89,0.72
2012-09-14 00:00:00.000,398.87,398.13,400.09,395.14,46.5,1.92
2012-09-13 00:00:00.000,391.36,388.55,391.36,387.68,37.26,0.78
2012-09-12 00:00:00.000,388.35,387.03,390.3,387.03,32.62,0.45
2012-09-11 00:00:00.000,386.62,383.87,388.02,383.87,35.75,-0.58
2012-09-10 00:00:00.000,388.88,395.72,396.27,386.19,48.79,-2.17
2012-09-07 00:00:00.000,397.51,395.25,397.51,392.56,33.47,1.04
2012-09-06 00:00:00.000,393.41,396.41,398.77,393.41,33.45,-1.38
2012-09-05 00:00:00.000,398.92,402.56,404.87,396.31,45.71,-0.79
2012-09-04 00:00:00.000,402.08,397.37,403.25,397.37,29.64,1.53
